,model,metric,performance_bootstrap,value,distribution,seed
0,Logistic Regression,roc_auc,0,0.9828600827803085,t,226
1,Logistic Regression,roc_auc,1,0.9838581695345622,t,226
2,Logistic Regression,roc_auc,2,0.9880848835932815,t,226
3,Logistic Regression,roc_auc,3,0.9843163329161451,t,226
4,Logistic Regression,roc_auc,4,0.9849214484521038,t,226
5,Logistic Regression,roc_auc,5,0.9815619971731657,t,226
6,Logistic Regression,roc_auc,6,0.9863365002382289,t,226
7,Logistic Regression,roc_auc,7,0.9778299188534139,t,226
8,Logistic Regression,roc_auc,8,0.9848559743954481,t,226
9,Logistic Regression,roc_auc,9,0.9878595681978346,t,226
10,Logistic Regression,roc_auc,10,0.9846050569602667,t,226
11,Logistic Regression,roc_auc,11,0.9819448567908564,t,226
12,Logistic Regression,roc_auc,12,0.9831204758807738,t,226
13,Logistic Regression,roc_auc,13,0.9827455860620674,t,226
14,Logistic Regression,roc_auc,14,0.9807039228156912,t,226
15,Logistic Regression,roc_auc,15,0.984770053000589,t,226
16,Logistic Regression,roc_auc,16,0.9861224333599135,t,226
17,Logistic Regression,roc_auc,17,0.9853676209103842,t,226
18,Logistic Regression,roc_auc,18,0.9811578461104796,t,226
19,Logistic Regression,roc_auc,19,0.9796967424551227,t,226
20,Logistic Regression,roc_auc,20,0.9822596435915559,t,226
21,Logistic Regression,roc_auc,21,0.9860790338713415,t,226
22,Logistic Regression,roc_auc,22,0.9831543154315431,t,226
23,Logistic Regression,roc_auc,23,0.9862173734138502,t,226
24,Logistic Regression,roc_auc,24,0.9864257979177333,t,226
25,Logistic Regression,roc_auc,25,0.9842355396880712,t,226
26,Logistic Regression,roc_auc,26,0.981413160603912,t,226
27,Logistic Regression,roc_auc,27,0.9879928759093461,t,226
28,Logistic Regression,roc_auc,28,0.9816541488388175,t,226
29,Logistic Regression,roc_auc,29,0.9833384012973988,t,226
30,Logistic Regression,roc_auc,30,0.9872366469485693,t,226
31,Logistic Regression,roc_auc,31,0.9808357545316077,t,226
32,Logistic Regression,roc_auc,32,0.9816806200337123,t,226
33,Logistic Regression,roc_auc,33,0.986236320386294,t,226
34,Logistic Regression,roc_auc,34,0.9849340321995432,t,226
35,Logistic Regression,roc_auc,35,0.985725404732254,t,226
36,Logistic Regression,roc_auc,36,0.9790911992677669,t,226
37,Logistic Regression,roc_auc,37,0.9858351048156022,t,226
38,Logistic Regression,roc_auc,38,0.985665377262016,t,226
39,Logistic Regression,roc_auc,39,0.9847252722344223,t,226
40,Logistic Regression,roc_auc,40,0.9858456984787832,t,226
41,Logistic Regression,roc_auc,41,0.9785259426152454,t,226
42,Logistic Regression,roc_auc,42,0.9870876761195809,t,226
43,Logistic Regression,roc_auc,43,0.9833802047757286,t,226
44,Logistic Regression,roc_auc,44,0.9808021333532579,t,226
45,Logistic Regression,roc_auc,45,0.9852397309180436,t,226
46,Logistic Regression,roc_auc,46,0.9865674029956887,t,226
47,Logistic Regression,roc_auc,47,0.9874517696285,t,226
48,Logistic Regression,roc_auc,48,0.9850003377801798,t,226
49,Logistic Regression,roc_auc,49,0.9828306590358485,t,226
50,Logistic Regression,average_precision,0,0.9688209289231582,t,226
51,Logistic Regression,average_precision,1,0.9704746498632724,t,226
52,Logistic Regression,average_precision,2,0.9776894326956058,t,226
53,Logistic Regression,average_precision,3,0.9691646688601963,t,226
54,Logistic Regression,average_precision,4,0.9732045956740027,t,226
55,Logistic Regression,average_precision,5,0.9680914424101997,t,226
56,Logistic Regression,average_precision,6,0.9746981939239362,t,226
57,Logistic Regression,average_precision,7,0.9576173102389994,t,226
58,Logistic Regression,average_precision,8,0.9715882297015248,t,226
59,Logistic Regression,average_precision,9,0.9747199536796373,t,226
60,Logistic Regression,average_precision,10,0.9707670343158483,t,226
61,Logistic Regression,average_precision,11,0.9653571966317112,t,226
62,Logistic Regression,average_precision,12,0.9676653272830484,t,226
63,Logistic Regression,average_precision,13,0.9664345618716653,t,226
64,Logistic Regression,average_precision,14,0.9618339640203928,t,226
65,Logistic Regression,average_precision,15,0.969797926490658,t,226
66,Logistic Regression,average_precision,16,0.9774762781968922,t,226
67,Logistic Regression,average_precision,17,0.9745320840456672,t,226
68,Logistic Regression,average_precision,18,0.9654186095208515,t,226
69,Logistic Regression,average_precision,19,0.9597322078518653,t,226
70,Logistic Regression,average_precision,20,0.9674564908382597,t,226
71,Logistic Regression,average_precision,21,0.9746413875785531,t,226
72,Logistic Regression,average_precision,22,0.9693774427972357,t,226
73,Logistic Regression,average_precision,23,0.9762576478437844,t,226
74,Logistic Regression,average_precision,24,0.9746554678338235,t,226
75,Logistic Regression,average_precision,25,0.9696501285839009,t,226
76,Logistic Regression,average_precision,26,0.9673235635871269,t,226
77,Logistic Regression,average_precision,27,0.9804070770337692,t,226
78,Logistic Regression,average_precision,28,0.9655285182296385,t,226
79,Logistic Regression,average_precision,29,0.9676985871897916,t,226
80,Logistic Regression,average_precision,30,0.9776879158096371,t,226
81,Logistic Regression,average_precision,31,0.965555276530751,t,226
82,Logistic Regression,average_precision,32,0.9674921358845486,t,226
83,Logistic Regression,average_precision,33,0.9769335796670191,t,226
84,Logistic Regression,average_precision,34,0.9734055373587447,t,226
85,Logistic Regression,average_precision,35,0.9752714784772782,t,226
86,Logistic Regression,average_precision,36,0.9624861208994933,t,226
87,Logistic Regression,average_precision,37,0.9734815734570257,t,226
88,Logistic Regression,average_precision,38,0.9748009948506795,t,226
89,Logistic Regression,average_precision,39,0.9712421789251551,t,226
90,Logistic Regression,average_precision,40,0.9762406677866134,t,226
91,Logistic Regression,average_precision,41,0.9600780501275281,t,226
92,Logistic Regression,average_precision,42,0.9749273704073016,t,226
93,Logistic Regression,average_precision,43,0.9711574468884638,t,226
94,Logistic Regression,average_precision,44,0.9625700945593009,t,226
95,Logistic Regression,average_precision,45,0.9772223013505319,t,226
96,Logistic Regression,average_precision,46,0.9749567722042254,t,226
97,Logistic Regression,average_precision,47,0.9773557037729533,t,226
98,Logistic Regression,average_precision,48,0.9718319465691246,t,226
99,Logistic Regression,average_precision,49,0.9673031469968009,t,226
